Year   Jan  Feb  Mar  Apr  May  Jun  Jul  Aug  Sep  Oct  Nov  Dec    J-D D-N    DJF  MAM  JJA  SON  Year
1880   -67  -44  -48  -64  -37  -50  -38   11  -43  -61  -41  -39    -43 ***   ****  -50  -26  -49  1880
1881   -67  -46  -25  -14    2 -101  -41  -23  -28  -38  -45    0    -35 -39    -51  -12  -55  -37  1881
1882    22   -5   -4  -55  -36  -91  -61  -11   -1  -26  -35  -58    -30 -25      6  -32  -54  -21  1882
1883   -60  -87  -35  -19  -28   44    8   -2  -32  -53  -60  -27    -29 -32    -68  -28   17  -48  1883
1884   -50  -22  -35  -84 -108  -70  -77   22  -31  -73  -75  -90    -58 -53    -33  -76  -42  -60  1884
1885   -85  -72  -86  -81  -46  -88  -55  -12  -12    0  -32   11    -47 -55    -83  -71  -52  -15  1885
1886   -63  -71  -61  -53  -49  -67  -32  -66  -32  -80  -50  -68    -58 -51    -41  -54  -55  -54  1886
1887   -83 -117  -54  -77  -82  -64  -44  -31  -59  -43  -84  -62    -67 -67    -89  -71  -46  -62  1887
1888   -68  -74  -84  -24  -68  -46  -29  -29  -37  -21   -5   -8    -41 -46    -68  -59  -35  -21  1888
1889   -28   18    7   14   12  -27  -41  -60  -38  -22  -45  -40    -21 -18     -6   11  -43  -35  1889
1890   -62  -63  -61  -51  -89  -55  -59  -60  -35  -28  -76  -56    -58 -57    -55  -67  -58  -46  1890
1891  -100 -111  -56  -68  -47  -57  -73  -58  -52  -59  -55   -4    -62 -66    -89  -57  -63  -56  1891
1892   -67  -35  -60  -73  -67  -58  -38  -27  -51  -39  -64  -66    -54 -49    -35  -67  -41  -51  1892
1893  -146  -99  -61  -66  -74  -69  -13  -34  -26  -11  -19  -44    -55 -57   -104  -67  -39  -19  1893
1894   -80  -69  -44  -68  -67  -48  -37  -33  -46  -10  -16  -18    -45 -47    -65  -60  -40  -24  1894
1895   -69  -82  -51  -47  -38  -31  -55  -19  -14   -6  -12   -7    -36 -37    -56  -45  -35  -11  1895
1896   -24  -31  -55  -48  -45  -44  -21  -40  -11   -4  -47  -23    -33 -31    -21  -49  -35  -21  1896
1897   -28  -52  -36  -13  -28  -21  -10  -31  -19  -28   -7  -32    -25 -25    -34  -26  -21  -18  1897
1898   -21  -52  -84  -55  -69  -34  -38  -28   -7  -46  -56  -27    -43 -43    -35  -69  -33  -36  1898
1899   -49  -64  -44  -31  -47  -59  -34  -35   -6  -34   -8  -26    -36 -37    -47  -40  -43  -16  1899
1900   -55   -5  -18  -18  -19  -16  -38  -22  -11   12  -16  -10    -18 -19    -29  -18  -25   -5  1900
1901   -32  -14  -18  -17  -27    0  -32  -26   -1  -19  -14  -20    -18 -18    -19  -20  -19  -12  1901
1902   -32   -5  -21  -20  -34  -41  -46  -51  -43  -48  -50  -56    -37 -34    -19  -25  -46  -47  1902
1903   -34  -14  -17  -55  -45  -63  -30  -41  -38  -49  -48  -60    -41 -41    -35  -39  -45  -45  1903
1904   -80  -75  -54  -46  -68  -43  -59  -49  -44  -54  -26  -38    -53 -55    -72  -56  -50  -42  1904
